Week 1
Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;
rest;rest;rest;rest;super mega heavy run 2000km in 24h;rest;rest;

Week 2
Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;
rest;rest;rest;rest;rest;rest;rest;

Week 3
Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;
rest;rest;rest;rest;rest;rest;rest;

Week 4
Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;
rest;rest;rest;rest;rest;rest;rest;

Week 5
Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;
rest;rest;rest;rest;rest;rest;rest;

